-1:426:[-25.45322106157722, 1.7643289454622291e-15]
-1:427:[-30.790677740717104, 2.82740834872878e-15]
-1:428:[-27.944758815183, 1.1074200145862379e-15]
-1:429:[-27.419657506038217, 9.285901734817993e-16]
-1:430:[-27.911694264675592, 1.900545038736075e-15]
-1:431:[-31.62184033476759, 2.8044382269198518e-15]
-1:432:[-25.790393188484767, 3.4000581218634143e-15]
-1:433:[-30.40962617735957, 3.654332085619723e-15]
-1:434:[-33.140200323386985, 1.731738312526436e-15]
-1:435:[-33.409605006586546, 9.26617655809276e-16]
-1:436:[-35.45645469849776, 2.79295163865189e-15]
-1:437:[-35.48549388046477, 2.5057199018787693e-15]
-1:438:[-35.587690030193514, 4.391039371095646e-15]
-1:439:[-37.00176371193486, 1.6945108670228826e-15]
-1:440:[-31.77352478366777, 3.3461900538278655e-15]
-1:441:[-25.710492403693053, 1.866493081861493e-15]
-1:442:[-24.204434530651714, 2.505419704959087e-15]
-1:443:[-22.63135663128876, 1.8848945427717347e-15]
-1:444:[-19.72840393424799, 2.2133575554745292e-15]
-1:445:[-13.300648972017411, 1.2696015649672663e-15]
-1:446:[-6.890568605044991, 8.667106966062291e-16]
-1:447:[-2.6449861078653747, 1.2182617550126297e-16]
-1:448:[1.3371868732363494, -1.0701736164174664e-16]
-1:449:[4.434963098661037, -1.131787589762198e-16]
-1:450:[9.336598535188253, -4.3645510220526834e-16]
-1:451:[7.55385841669323, -4.0406218889793114e-16]
-1:452:[13.770496163756576, -9.826186011836058e-16]
-1:453:[13.927330139692414, -1.3617908394927737e-15]
-1:454:[11.635048193607936, -8.899253587221399e-16]
-1:455:[17.05690192677106, -2.1872520873718056e-15]
-1:456:[22.313560465851296, -1.9769790384684725e-15]
-1:457:[19.005661060343986, -2.745971416501139e-15]
-1:458:[19.74877031475182, -2.6611389417781267e-15]
-1:459:[25.346954776711772, -8.257292748599704e-16]
-1:460:[32.290519589971964, -3.63709317871868e-15]
-1:461:[39.17526784540164, -5.5297177576681554e-15]
-1:462:[36.731468243028544, -2.509765496945574e-15]
-1:463:[41.278963605427236, -2.17499072028718e-15]
-1:464:[46.68318520197568, -3.3000014805725364e-15]
-1:465:[51.05691105734698, -1.5289689075877638e-15]
-1:466:[54.687869058346, -4.923436391700147e-15]
-1:467:[60.957485886748564, -3.687106489372532e-15]
-1:468:[29.12624988148314, -2.5073139235128755e-15]
-1:469:[33.35299248146844, -3.624483393710521e-15]
-1:470:[33.29255067478972, -3.609425415494757e-15]
-1:471:[39.65870173319127, -3.3975838909598378e-15]
-1:472:[38.80139367200153, -1.638171842348723e-15]
-1:473:[42.29601843287583, -3.591506104018356e-15]
-1:474:[47.6662920286823, -1.5628438820823495e-15]
